address,Category
0x0a888f0f0b772e17a2adfd62d3f15cec72c8d42f,Phishing
0xfac9eeb5cc03db0cff26e518f19ccfbf080689a1,Phishing
0x9db99e73c52bcc353963022ac184a25e80f655bd,Phishing
0x705f704d11020ff07acde8592bb80b044e15de16,Phishing
0x85234c92d4dddf239df9c76497a6516fdf546577,Phishing
0x5970d26c51397578c2b3420d20fbb2bcc5c5b00e,Phishing
0x580c2261f2b232d17bd5f62edc6b07e67585a829,Phishing
0x5580fb6e95230bf16ae7e2c6467d11566ed5b3ea,Phishing
0x794cd1329493dc9c6ceb0ec9955890d392c811da,Phishing
0xc3caf142a41b0fae78a922c25fc0eecdcf0985d1,Phishing
0x09430a9fb46a1a3b83980768c4cedf654d8eefa3,Phishing
0x92cd726ce03ceaa4bf7198ce9c52d05d63cee575,Phishing
0x10c44ab858b90e09c725158906f71833ff417acc,Phishing
0x8af1380c436fc019b8055c61d09e3ee5f182278c,Phishing
0x35919ff0a88a0bdfd1b0ef3be574bcf6c1e90e01,Phishing
0x3eadb407f81d62d27f63a8881805b1735f70e692,Phishing
0x299628fd380813622305517e64eee89bb6a49ca3,Phishing
0x65ef72c11c53c9ae2fc923cf7780dd030c02ae0a,Phishing
0x354d4f3eb48be676a030f98e2a6c5bc06b96e249,Phishing
0x7d922a4f7f24ffcb130c4eeaf291a6475e3e4dd2,Phishing
0xbeaad836e717dd22f59752d60223971db197ef4e,Phishing
0xb9ee29ff43d319c126ed2dbdd74d49a2659ede56,Phishing
0x4910e010ebf5b3366d1e80a134c1fa538ff7994c,Phishing
0x2276f412d2ae5dc2cdc293b0df70a8273f6f6771,Phishing
0x497e4c58a4106fee817e3bece3c5c029e964eb49,Phishing
0x2af0b9190aa127c1989886670481381b5b549985,Phishing
0xae9dcec1fb0814ca02ca1e6690d05f33488b4c8b,Phishing
0x598f0f5fed15632e915ab3c2f928a1e02be8e30d,Phishing
0x4a8d9b64ee9c7e058fe9c8cbf96375b02da006e2,Phishing
0x28184d2f5e2a47fcd5e528230d18cc3eb2cd0a6d,Phishing
0xe7a06aab8286cef4206942a4891ee95a40e86466,Phishing
0xf6f7cac4adef7e448cef8fceb14032e6e55a0dfa,Phishing
0xbb5f90c64920667a2851fd97e955248f04e16b75,Phishing
0x2d301d74a8d303da6408cc2dfda319bbeb48c125,Phishing
0x8408263f4f0691db34bd7666b5af61e19cb91b91,Phishing
0x2eb045d518290aca828046641d29f605ead1a283,Phishing
0xd582cec308d9320b2ec3dc2868b56549fc8ace5a,Phishing
0x7b66563dd534c3e66fee08c995da9d5e77c883f9,Phishing
0xb9b9b6aca1a0cf4ea4eb0ced466d66a62f8eb072,Phishing
0x3fdd0bb90f7bb6fcf58b35865d4744df8ef30404,Phishing
0x4810b1571775dd861c61d87fbea1008e030a8ddf,Phishing
0xf51b4021c6f1af31f44bf575188986e733a971fe,Phishing
0x78c544eede78eb781707a1d46377bf6be9d028df,Phishing
0x6931e6948702245964dd446333c3bebd989d5e76,Phishing
0xb3510c6786b90c2065644825bd34c4219f1460ff,Phishing
0x97b20481241fe3cb9cc9ba50609d377b2506cdaa,Phishing
0xd289bc0a919e75b824f4dfc376e9f24c119ed3f3,Phishing
0xa43d3805105922989e58a5188193c283fff471e7,Phishing
0xb53e95a4b7c5e15a790df3a66709b2e9f1cf9e3f,Phishing
0x95c5db5bd9a0260fc457af4f6fc6de7819d9b1a6,Phishing
0x5ec707525b04e22b2d207faa1912569f79e74e8a,Phishing
0x95ffcdf36129e5e256190609cd97841d03e52356,Phishing
0x4fbc4c6c416a84e04b2239202396f378d7af51ee,Phishing
0xd52fcaf53cd3efd7e1d484fd9cd2dd21355063e5,Phishing
0xa0c7d4f3fc7f8a46fb58990228d0b82a0354f371,Phishing
0xdccdce28bba5b796724f1b50ab350403d895fe08,Phishing
0x548ac87629ceb858aa09b419f5b9898ec5735fba,Phishing
0xf12d3f5d38c2408da3122cee1432e89c16522b3b,Phishing
0xb619a34abac80478ae6a93527fdeaeeb0e51e934,Phishing
0x23397c5d9c6363d67b3a294b677f80f93949bf56,Phishing
0x72a8bf69f282c2eb752d48b7778c0f0b6eaeabac,Phishing
0x71bdcbdd42ea7b9c646a9a50e170fde7835cdf88,Phishing
0x5093c4029acab3aff80140023099f5ec6ca7d52f,Phishing
0xac14590ad8184a48302f59a8baaf924b865de4c5,Phishing
0xcaa5854034d7eda409e2479c6c0351c167e21a08,Phishing
0x7f5d2fe39cd0c9924283cd5e92377a4894e3313a,Phishing
0xd914c1152a0e4974dc3985e9b6f6905e002ebb3d,Phishing
0x52bef206e8e0403cd60d37e48f4f3860d9545556,Phishing
0x6d1ca9ee33f0806bd37a8ac4c418a0ecb0c9f086,Phishing
0x018f2f4b3c9e38607aa7ab4dea23e9d663e3e050,Phishing
0xf7355cb5278fc4be2f53ce373f7cd9b543d042a1,Phishing
0x38b9dafe93f0b3ab7d35ac42165b73c0f3c5fd8c,Phishing
0x6cd5d658bac5c7c6b9946382b42290dc39dd7f25,Phishing
0x634cdd7ebeccccf517cd8f4eca959474bc1b58cc,Phishing
0xb5eb9d18c0413535baf1fa8bd8bf8f6ea7fea47a,Phishing
0xe3224fa0197de258ba065c35380d7dfd2396ec89,Phishing
0x91459992bcbf089851abffa033559c2eef120469,Phishing
0x1890d4a49faf31088e5ede045e3a985c82b21f11,Phishing
0xd787e430cf92d42fa28b7643e41ea1d871a19fff,Phishing
0xbaf18322ce288b08b2c58081fd0d1a9f03a9ea37,Phishing
0xc4b1a260735fdc817409183db8594baf9f0b0f2f,Phishing
0x88bdeb65ed500794118d0e5fdf5808d23bb74e73,Phishing
0x9a4afeaecd8efe2a7186365b55e72503d555713b,Phishing
0xaa6a6d930fdc6f32ffc38db4ea6c4668dd10c15b,Phishing
0xf76dea0a7ed40e379cc834cf94a6bdc59ac11044,Phishing
0xedc0c49946b93aa296a11298480ae7913bb65222,Phishing
0xebd411aa59b4456f45529a7cc203f87c0e104947,Phishing
0x754a7657092fd2862338ff06ce02cfc389d49e21,Phishing
0x011da0ab16577cbb73374a5b9b869d66253150e7,Phishing
0x08986f5cecd3cb8882e4a34a16961e3124377291,Phishing
0x64c940690a3660e68d93d8c6412d900bdd3e11e5,Phishing
0xceebb2d0cdc85e9774a232bab74c45fc883c15e4,Phishing
0x588c0e4af4bb0cd6e63e898bf8ad555452297326,Phishing
0xd31bd0cf9d6800ac573679d1baf21f79e0492ef6,Phishing
0x41467711f2d1f6021119ffb113ae0e78251b45fa,Phishing
0x860b62006ea05a05c7638d16a106858450bde336,Phishing
0x043375ebc36fff7a4fcef1359f3c89afddf56e08,Phishing
0x6353940eabe11c7cd78ecc2085ae65cdacc5a92b,Phishing
0x0967c50bfec4dba06e28e8fdbcfd15a23474fab4,Phishing
0xe56303d8ff8c25c240f41d90fcaae1469c5b5f77,Phishing
0x19bfd8a539ca899983b30e1d1c3370ac03d6b7ab,Phishing
0xeeb70fd96f6c8838aeffb9d8dc042eab97b1bb09,Phishing
0x2cc762c27a50d18e50efcd3bee9e3154e3bb094d,Phishing
0x6c20ef21e604028c649247c581e8e49fda6191ca,Phishing
0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,Phishing
0x9ee1e7d4f70a698689557b6bb67e8b6555e36d59,Phishing
